H 1 1215.67A
H 1 913.215A
H 1 6564.62A
H 1 4862.69A
H 1 4341.68A
H 1 4102.89A
H 1 3971.19A
H 1 3890.15A
H 1 3836.47A
H 1 3798.97A
H 1 3771.70A
H 1 3751.21A
H 1 3735.43A
H 1 3722.99A
H 1 3713.02A
H 1 3704.90A
H 1 3698.20A
H 1 3692.60A
H 1 3687.88A
H 1 3683.85A
H 1 3680.40A
H 1 3672.52A
H 1 3670.51A
H 1 1.87561m
H 1 1.28215m
H 1 1.09410m
H 1 1.00521m
H 1 9548.54A
H 1 9231.50A
H 1 9017.34A
H 1 8865.17A
H 1 8752.83A
H 1 8667.36A
H 1 8325.67A
H 1 4.05224m
H 1 2.62585m
H 1 2.16611m
H 1 1.94507m
H 1 1.81790m
H 1 1.73667m
H 1 4.65374m
H 1 3.74053m
He 1 1.08332m
He 1 3889.74A
He 1 3188.66A
He 1 2945.96A
He 1 2.05869m
He 1 5017.08A
He 1 7067.16A
He 1 5877.26A
He 1 4472.74A
He 1 4027.34A
He 1 3705.82A
He 1 6680.00A
He 1 4923.31A
He 1 1.86905m
Ar 3 7137.76A
Ar 3 7753.24A
C 2 2326.11A
C 2 2327.65A
C 3 1908.73A
C 3 1906.68A
C 3 977.020A
Fe 2 1.25702m
Fe 2 2382.77A
Fe 2 1.32092m
Fe 2 2626.45A
Fe 2 1.64400m
Fe 3 4659.31A
Fe 3 5271.87A
Ne 3 3869.86A
Ne 3 3968.59A
O 1 6302.05A
O 2 2471.09A
O 2 7322.01A
O 2 3729.88A
O 2 3727.09A
O 3 4960.29A
O 3 5008.24A
O 3 4364.44A
O 3 1666.15A
S 2 6732.67A
S 2 6718.29A
S 2 4069.75A
S 3 9071.11A
S 3 9533.23A
S 3 3722.69A
S 3 6313.81A
Si 3 1892.03A
Si 3 1882.71A
Si 3 1206.50A
Fe 4 3095.86A
Fe 4 2836.57A
Fe 4 2830.19A
Mg 2 2803.53A
Mg 2 2796.35A
N 2 6549.86A
N 2 6585.27A
C 2R 1335.00A
